MCS_1;MCS_2;MCS_3;MCS_4;MCS_5;MCS_6;MCS_7;MCS_8;MCS_9;MCS_10;MCS_11
0.003657304;0.025752433;0.067847562;0.129942692;0.212037821;0.31413295;0.43622808;0.578323209;0.740418338;0.922513468;1.124608597
0.072804187;0.028839685;0.004875183;0.000910681;0.016946179;0.052981677;0.109017175;0.185052672;0.28108817;0.397123668;0.533159166
4.238279923;3.83653826;3.454796597;3.093054934;2.751313271;2.429571609;2.127829946;1.846088283;1.58434662;1.342604957;1.120863294
0.325479825;0.221378146;0.137276468;0.07317479;0.029073112;0.004971433;0.000869755;0.016768077;0.052666398;0.10856472;0.184463042
0.396003054;0.280145507;0.18428796;0.108430413;0.052572865;0.016715318;0.000857771;0.005000224;0.029142677;0.07328513;0.137427583
4.906512896;4.473499899;4.060486901;3.667473904;3.294460907;2.941447909;2.608434912;2.295421914;2.002408917;1.72939592;1.476382922
0.923359955;0.741176714;0.578993473;0.436810231;0.31462699;0.212443749;0.130260508;0.068077267;0.025894025;0.003710784;0.001527543
0.585318693;0.74833094;0.931343187;1.134355433;1.35736768;1.600379927;1.863392174;2.146404421;2.449416668;2.772428915;3.115441162
0.034913988;0.082284559;0.149655129;0.237025699;0.34439627;0.47176684;0.619137411;0.786507981;0.973878551;1.181249122;1.408619692
0.002952621;0.002085016;0.02121741;0.060349804;0.119482198;0.198614592;0.297746986;0.41687938;0.556011774;0.715144168;0.894276562
2.972458044;2.637641685;2.322825325;2.028008966;1.753192606;1.498376247;1.263559887;1.048743528;0.853927168;0.679110809;0.524294449
0.739279817;0.577317052;0.435354286;0.313391521;0.211428756;0.12946599;0.067503225;0.025540459;0.003577694;0.001614928;0.019652163
0.811389206;0.641234916;0.491080626;0.360926336;0.250772046;0.160617756;0.090463465;0.040309175;0.010154885;5.95E-07;0.009846305
0.37293338;0.260796836;0.168660293;0.09652375;0.044387207;0.012250664;0.00011412;0.007977577;0.035841034;0.083704491;0.151567948
0.003118232;0.024286459;0.065454686;0.126622913;0.20779114;0.308959367;0.430127594;0.571295821;0.732464048;0.913632275;1.114800502
5.229971695;4.782589068;4.355206441;3.947823813;3.560441186;3.193058558;2.845675931;2.518293304;2.210910676;1.923528049;1.656145422
0.995705577;0.806135481;0.636565386;0.48699529;0.357425194;0.247855099;0.158285003;0.088714907;0.039144812;0.009574716;4.62E-06
2.150965884;2.454289315;2.777612747;3.120936178;3.484259609;3.867583041;4.270906472;4.694229903;5.137553335;5.600876766;6.084200197
1.443256002;1.212984822;1.002713642;0.812442461;0.642171281;0.491900101;0.36162892;0.25135774;0.16108656;0.090815379;0.040544199
0.000740307;0.005298589;0.029856871;0.074415152;0.138973434;0.223531715;0.328089997;0.452648278;0.59720656;0.761764841;0.946323123
0.322423761;0.445988502;0.589553243;0.753117985;0.936682726;1.140247467;1.363812208;1.607376949;1.870941691;2.154506432;2.458071173
0.079538149;0.033133132;0.006728115;0.000323098;0.01391808;0.047513063;0.101108046;0.174703029;0.268298012;0.381892995;0.515487978
0.27668068;0.391881569;0.527082459;0.682283349;0.857484238;1.052685128;1.267886018;1.503086907;1.758287797;2.033488687;2.328689576
0.052391195;0.108169441;0.183947687;0.279725932;0.395504178;0.531282424;0.68706067;0.862838916;1.058617162;1.274395408;1.510173653
0.015634819;0.050642672;0.105650526;0.180658379;0.275666233;0.390674086;0.52568194;0.680689793;0.855697647;1.050705501;1.265713354
1.408241014;1.655579676;1.922918338;2.210257;2.517595662;2.844934325;3.192272987;3.559611649;3.946950311;4.354288973;4.781627635
1.789674176;1.532116768;1.294559359;1.07700195;0.879444541;0.701887132;0.544329723;0.406772314;0.289214905;0.191657496;0.114100087
0.426896431;0.306221808;0.205547184;0.12487256;0.064197937;0.023523313;0.00284869;0.002174066;0.021499443;0.060824819;0.120150195
0.40721875;0.544846138;0.702473525;0.880100913;1.0777283;1.295355687;1.532983075;1.790610462;2.06823785;2.365865237;2.683492624
3.075866777;2.735103793;2.414340809;2.113577825;1.832814841;1.572051856;1.331288872;1.110525888;0.909762904;0.728999919;0.568236935
0.858335954;0.683043109;0.527750265;0.392457421;0.277164576;0.181871732;0.106578888;0.051286044;0.015993199;0.000700355;0.005407511
0.041995697;0.011009994;2.43E-05;0.009038587;0.038052883;0.08706718;0.156081477;0.245095773;0.35411007;0.483124366;0.632138663
1.94637561;1.677350478;1.428325346;1.199300213;0.990275081;0.801249949;0.632224817;0.483199685;0.354174552;0.24514942;0.156124288
1.899251909;1.633625212;1.387998514;1.162371817;0.956745119;0.771118422;0.605491724;0.459865027;0.334238329;0.228611632;0.142984934
1.746576555;1.492260339;1.257944123;1.043627906;0.84931169;0.674995474;0.520679257;0.386363041;0.272046825;0.177730608;0.103414392
1.412865654;1.185137603;0.977409552;0.789681501;0.62195345;0.4742254;0.346497349;0.238769298;0.151041247;0.083313196;0.035585145
1.11074242;0.90995889;0.729175359;0.568391828;0.427608298;0.306824767;0.206041236;0.125257705;0.064474175;0.023690644;0.002907113
0.191921349;0.114303691;0.056686034;0.019068376;0.001450718;0.00383306;0.026215402;0.068597744;0.130980086;0.213362428;0.31574477
0.037650488;0.008843021;3.56E-05;0.011228086;0.042420619;0.093613152;0.164805684;0.255998217;0.36719075;0.498383283;0.649575815
0.014287182;0.000381382;0.006475582;0.032569782;0.078663982;0.144758183;0.230852383;0.336946583;0.463040783;0.609134983;0.775229184
0.037910808;0.086852203;0.155793599;0.244734995;0.353676391;0.482617787;0.631559182;0.800500578;0.989441974;1.19838337;1.427324765
0.085312316;0.036895772;0.008479228;6.27E-05;0.011646139;0.043229594;0.09481305;0.166396506;0.257979961;0.369563417;0.501146873
0.585831575;0.748910845;0.931990116;1.135069386;1.358148656;1.601227927;1.864307197;2.147386467;2.450465738;2.773545008;3.116624278
7.123325945;6.599534752;6.095743559;5.611952366;5.148161173;4.70436998;4.280578787;3.876787593;3.4929964;3.129205207;2.785414014
2.917134188;2.585541788;2.273949388;1.982356989;1.710764589;1.459172189;1.22757979;1.01598739;0.82439499;0.652802591;0.501210191
0.388264306;0.522886023;0.67750774;0.852129456;1.046751173;1.26137289;1.495994606;1.750616323;2.02523804;2.319859756;2.634481473
0.009431355;8.32E-06;0.010585289;0.041162256;0.091739223;0.162316191;0.252893158;0.363470125;0.494047092;0.644624059;0.815201026
0.001111865;0.004442936;0.027774007;0.071105078;0.134436148;0.217767219;0.32109829;0.444429361;0.587760431;0.751091502;0.934422573
1.638310704;1.39231768;1.166324657;0.960331633;0.774338609;0.608345586;0.462352562;0.336359538;0.230366515;0.144373491;0.078380467
0.173581335;0.100255148;0.046928961;0.013602775;0.000276588;0.006950401;0.033624215;0.080298028;0.146971841;0.233645654;0.340319468
0.567488784;0.426825081;0.306161378;0.205497675;0.124833972;0.06417027;0.023506567;0.002842864;0.002179161;0.021515458;0.060851756
0.222268162;0.137977513;0.073686864;0.029396215;0.005105566;0.000814917;0.016524268;0.052233619;0.10794297;0.183652322;0.279361673
0.208967419;0.12754151;0.066115602;0.024689693;0.003263785;0.001837876;0.020411968;0.058986059;0.11756015;0.196134242;0.294708333
3.491674496;3.127954039;2.784233582;2.460513125;2.156792669;1.873072212;1.609351755;1.365631298;1.141910841;0.938190385;0.754469928
0.075201552;0.030355749;0.005509947;0.000664144;0.015818341;0.050972538;0.106126735;0.181280932;0.276435129;0.391589326;0.526743524
4.066153699;3.672859578;3.299565457;2.946271336;2.612977215;2.299683094;2.006388973;1.733094852;1.479800731;1.246506611;1.03321249
1.099882444;1.319633005;1.559383566;1.819134127;2.098884688;2.398635249;2.718385809;3.05813637;3.417886931;3.797637492;4.197388053
1.176386986;0.969464236;0.782541486;0.615618736;0.468695986;0.341773236;0.234850486;0.147927736;0.081004986;0.034082237;0.007159487
0.389194118;0.274423269;0.17965242;0.104881571;0.050110722;0.015339874;0.000569025;0.005798176;0.031027327;0.076256479;0.14148563
0.51257233;0.379384016;0.266195702;0.173007389;0.099819075;0.046630761;0.013442447;0.000254134;0.00706582;0.033877506;0.080689192
0.77376562;0.607837723;0.461909827;0.33598193;0.230054033;0.144126137;0.07819824;0.032270344;0.006342447;0.000414551;0.014486654
5.40E-06;0.010470089;0.04093478;0.09139947;0.161864161;0.252328852;0.362793542;0.493258233;0.643722923;0.814187614;1.004652305
0.027819777;0.004461254;0.00110273;0.017744207;0.054385684;0.111027161;0.187668637;0.284310114;0.400951591;0.537593067;0.694234544
0.268920428;0.382635505;0.516350581;0.670065658;0.843780734;1.037495811;1.251210888;1.484925964;1.738641041;2.012356118;2.306071194
0.326945207;0.451303452;0.595661697;0.760019943;0.944378188;1.148736433;1.373094678;1.617452924;1.881811169;2.166169414;2.47052766
0.645658278;0.494952549;0.364246821;0.253541093;0.162835364;0.092129636;0.041423908;0.01071818;1.25E-05;0.009306723;0.038600995
0.899101784;0.719459829;0.559817873;0.420175917;0.300533961;0.200892006;0.12125005;0.061608094;0.021966138;0.002324183;0.002682227
